"","species","year","index","se","ZIP3_ID"
"1","Bachstelze",2006,100,0,"1"
"2","Bachstelze",2006,100,0,"10"
"3","Bachstelze",2006,100,0,"100"
"4","Bachstelze",2006,100,0,"1000"
"5","Bachstelze",2006,100,0,"1001"
"6","Bachstelze",2006,100,0,"1002"
"7","Bachstelze",2006,100,0,"1003"
"8","Bachstelze",2006,100,0,"1004"
"9","Bachstelze",2006,100,0,"1005"
"10","Bachstelze",2006,100,0,"1006"
"11","Bachstelze",2006,100,0,"1007"
"12","Bachstelze",2006,100,0,"1008"
"13","Bachstelze",2006,100,0,"1009"
"14","Bachstelze",2006,100,0,"101"
"15","Bachstelze",2006,100,0,"1010"
"16","Bachstelze",2006,100,0,"1011"
"17","Bachstelze",2006,100,0,"1012"
"18","Bachstelze",2006,100,0,"1013"
"19","Bachstelze",2006,100,0,"1015"
"20","Bachstelze",2006,100,0,"1016"
"21","Bachstelze",2006,100,0,"1017"
"22","Bachstelze",2006,100,0,"1018"
"23","Bachstelze",2006,100,0,"1019"
"24","Bachstelze",2006,100,0,"102"
"25","Bachstelze",2006,100,0,"1020"
"26","Bachstelze",2006,100,0,"1021"
"27","Bachstelze",2006,100,0,"1022"
"28","Bachstelze",2006,100,0,"1023"
"29","Bachstelze",2006,100,0,"1024"
"30","Bachstelze",2006,100,0,"1025"
"31","Bachstelze",2006,100,0,"1026"
"32","Bachstelze",2006,100,0,"1027"
"33","Bachstelze",2006,100,0,"1028"
"34","Bachstelze",2006,100,0,"1029"
"35","Bachstelze",2006,100,0,"103"
"36","Bachstelze",2006,100,0,"1030"
"37","Bachstelze",2006,100,0,"1031"
"38","Bachstelze",2006,100,0,"1032"
"39","Bachstelze",2006,100,0,"1033"
"40","Bachstelze",2006,100,0,"1034"
"41","Bachstelze",2006,100,0,"1035"
"42","Bachstelze",2006,100,0,"1036"
"43","Bachstelze",2006,100,0,"1037"
"44","Bachstelze",2006,100,0,"1038"
"45","Bachstelze",2006,100,0,"1039"
"46","Bachstelze",2006,100,0,"104"
"47","Bachstelze",2006,100,0,"1040"
"48","Bachstelze",2006,100,0,"1041"
"49","Bachstelze",2006,100,0,"1042"
"50","Bachstelze",2006,100,0,"1043"
"51","Bachstelze",2006,100,0,"1044"
"52","Bachstelze",2006,100,0,"1045"
"53","Bachstelze",2006,100,0,"1046"
"54","Bachstelze",2006,100,0,"1047"
"55","Bachstelze",2006,100,0,"1048"
"56","Bachstelze",2006,100,0,"1049"
"57","Bachstelze",2006,100,0,"105"
"58","Bachstelze",2006,100,0,"1050"
"59","Bachstelze",2006,100,0,"1051"
"60","Bachstelze",2006,100,0,"1052"
"61","Bachstelze",2006,100,0,"1053"
"62","Bachstelze",2006,100,0,"1054"
"63","Bachstelze",2006,100,0,"1055"
"64","Bachstelze",2006,100,0,"1056"
"65","Bachstelze",2006,100,0,"1057"
"66","Bachstelze",2006,100,0,"1058"
"67","Bachstelze",2006,100,0,"1059"
"68","Bachstelze",2006,100,0,"106"
"69","Bachstelze",2006,100,0,"1060"
"70","Bachstelze",2006,100,0,"1061"
"71","Bachstelze",2006,100,0,"1062"
"72","Bachstelze",2006,100,0,"1063"
"73","Bachstelze",2006,100,0,"1064"
"74","Bachstelze",2006,100,0,"1065"
"75","Bachstelze",2006,100,0,"1066"
"76","Bachstelze",2006,100,0,"1067"
"77","Bachstelze",2006,100,0,"1068"
"78","Bachstelze",2006,100,0,"1069"
"79","Bachstelze",2006,100,0,"107"
"80","Bachstelze",2006,100,0,"1070"
"81","Bachstelze",2006,100,0,"1071"
"82","Bachstelze",2006,100,0,"1072"
"83","Bachstelze",2006,100,0,"1073"
"84","Bachstelze",2006,100,0,"1074"
"85","Bachstelze",2006,100,0,"1075"
"86","Bachstelze",2006,100,0,"1076"
"87","Bachstelze",2006,100,0,"1077"
"88","Bachstelze",2006,100,0,"1078"
"89","Bachstelze",2006,100,0,"1079"
"90","Bachstelze",2006,100,0,"108"
"91","Bachstelze",2006,100,0,"1080"
"92","Bachstelze",2006,100,0,"1081"
"93","Bachstelze",2006,100,0,"1082"
"94","Bachstelze",2006,100,0,"1083"
"95","Bachstelze",2006,100,0,"1084"
"96","Bachstelze",2006,100,0,"1085"
"97","Bachstelze",2006,100,0,"1086"
"98","Bachstelze",2006,100,0,"1087"
"99","Bachstelze",2006,100,0,"1088"
"100","Bachstelze",2006,100,0,"1089"
"101","Bachstelze",2006,100,0,"109"
"102","Bachstelze",2006,100,0,"1090"
"103","Bachstelze",2006,100,0,"1091"
"104","Bachstelze",2006,100,0,"1092"
"105","Bachstelze",2006,100,0,"1093"
"106","Bachstelze",2006,100,0,"1094"
"107","Bachstelze",2006,100,0,"1095"
"108","Bachstelze",2006,100,0,"1096"
"109","Bachstelze",2006,100,0,"1097"
"110","Bachstelze",2006,100,0,"1098"
"111","Bachstelze",2006,100,0,"1099"
"112","Bachstelze",2006,100,0,"11"
"113","Bachstelze",2006,100,0,"110"
"114","Bachstelze",2006,100,0,"1100"
"115","Bachstelze",2006,100,0,"1101"
"116","Bachstelze",2006,100,0,"1102"
"117","Bachstelze",2006,100,0,"1103"
"118","Bachstelze",2006,100,0,"1104"
"119","Bachstelze",2006,100,0,"1105"
"120","Bachstelze",2006,100,0,"1106"
"121","Bachstelze",2006,100,0,"1107"
"122","Bachstelze",2006,100,0,"1108"
"123","Bachstelze",2006,100,0,"1109"
"124","Bachstelze",2006,100,0,"111"
"125","Bachstelze",2006,100,0,"1110"
"126","Bachstelze",2006,100,0,"1111"
"127","Bachstelze",2006,100,0,"1112"
"128","Bachstelze",2006,100,0,"1113"
"129","Bachstelze",2006,100,0,"1114"
"130","Bachstelze",2006,100,0,"1115"
"131","Bachstelze",2006,100,0,"1116"
"132","Bachstelze",2006,100,0,"1117"
"133","Bachstelze",2006,100,0,"1118"
"134","Bachstelze",2006,100,0,"1119"
"135","Bachstelze",2006,100,0,"112"
"136","Bachstelze",2006,100,0,"1120"
"137","Bachstelze",2006,100,0,"1121"
"138","Bachstelze",2006,100,0,"1122"
"139","Bachstelze",2006,100,0,"1123"
"140","Bachstelze",2006,100,0,"1124"
"141","Bachstelze",2006,100,0,"1125"
"142","Bachstelze",2006,100,0,"1126"
"143","Bachstelze",2006,100,0,"1127"
"144","Bachstelze",2006,100,0,"1128"
"145","Bachstelze",2006,100,0,"1129"
"146","Bachstelze",2006,100,0,"113"
"147","Bachstelze",2006,100,0,"1130"
"148","Bachstelze",2006,100,0,"1131"
"149","Bachstelze",2006,100,0,"1132"
"150","Bachstelze",2006,100,0,"1133"
"151","Bachstelze",2006,100,0,"1134"
"152","Bachstelze",2006,100,0,"1135"
"153","Bachstelze",2006,100,0,"1136"
"154","Bachstelze",2006,100,0,"1137"
"155","Bachstelze",2006,100,0,"1138"
"156","Bachstelze",2006,100,0,"1139"
"157","Bachstelze",2006,100,0,"114"
"158","Bachstelze",2006,100,0,"1140"
"159","Bachstelze",2006,100,0,"1141"
"160","Bachstelze",2006,100,0,"1142"
"161","Bachstelze",2006,100,0,"1143"
"162","Bachstelze",2006,100,0,"1144"
"163","Bachstelze",2006,100,0,"1145"
"164","Bachstelze",2006,100,0,"1146"
"165","Bachstelze",2006,100,0,"1147"
"166","Bachstelze",2006,100,0,"1148"
"167","Bachstelze",2006,100,0,"1149"
"168","Bachstelze",2006,100,0,"115"
"169","Bachstelze",2006,100,0,"1150"
"170","Bachstelze",2006,100,0,"1151"
"171","Bachstelze",2006,100,0,"1152"
"172","Bachstelze",2006,100,0,"1153"
"173","Bachstelze",2006,100,0,"1154"
"174","Bachstelze",2006,100,0,"1155"
"175","Bachstelze",2006,100,0,"1156"
"176","Bachstelze",2006,100,0,"1157"
"177","Bachstelze",2006,100,0,"1158"
"178","Bachstelze",2006,100,0,"1159"
"179","Bachstelze",2006,100,0,"116"
"180","Bachstelze",2006,100,0,"1160"
"181","Bachstelze",2006,100,0,"1161"
"182","Bachstelze",2006,100,0,"1162"
"183","Bachstelze",2006,100,0,"1163"
"184","Bachstelze",2006,100,0,"1164"
"185","Bachstelze",2006,100,0,"1165"
"186","Bachstelze",2006,100,0,"1166"
"187","Bachstelze",2006,100,0,"1167"
"188","Bachstelze",2006,100,0,"1168"
"189","Bachstelze",2006,100,0,"1169"
"190","Bachstelze",2006,100,0,"117"
"191","Bachstelze",2006,100,0,"1170"
"192","Bachstelze",2006,100,0,"1171"
"193","Bachstelze",2006,100,0,"1172"
"194","Bachstelze",2006,100,0,"1173"
"195","Bachstelze",2006,100,0,"1174"
"196","Bachstelze",2006,100,0,"1175"
"197","Bachstelze",2006,100,0,"1176"
"198","Bachstelze",2006,100,0,"1177"
"199","Bachstelze",2006,100,0,"1178"
"200","Bachstelze",2006,100,0,"1179"
"201","Bachstelze",2006,100,0,"118"
"202","Bachstelze",2006,100,0,"119"
"203","Bachstelze",2006,100,0,"12"
"204","Bachstelze",2006,100,0,"120"
"205","Bachstelze",2006,100,0,"121"
"206","Bachstelze",2006,100,0,"122"
"207","Bachstelze",2006,100,0,"123"
"208","Bachstelze",2006,100,0,"124"
"209","Bachstelze",2006,100,0,"125"
"210","Bachstelze",2006,100,0,"126"
"211","Bachstelze",2006,100,0,"127"
"212","Bachstelze",2006,100,0,"128"
"213","Bachstelze",2006,100,0,"129"
"214","Bachstelze",2006,100,0,"13"
"215","Bachstelze",2006,100,0,"130"
"216","Bachstelze",2006,100,0,"131"
"217","Bachstelze",2006,100,0,"132"
"218","Bachstelze",2006,100,0,"133"
"219","Bachstelze",2006,100,0,"134"
"220","Bachstelze",2006,100,0,"135"
"221","Bachstelze",2006,100,0,"136"
"222","Bachstelze",2006,100,0,"137"
"223","Bachstelze",2006,100,0,"138"
"224","Bachstelze",2006,100,0,"139"
"225","Bachstelze",2006,100,0,"14"
"226","Bachstelze",2006,100,0,"140"
"227","Bachstelze",2006,100,0,"141"
"228","Bachstelze",2006,100,0,"142"
